#x [m],y [m],z [m],x [V/m],y [V/m],z [V/m]
Sample 1 time=5
0,-0.0445,-0.1255,-53.984,-7469.33,663.147
0,-0.0435,-0.1255,-49.8358,-7676.21,664.51
0,-0.0425,-0.1255,-45.497,-7883.9,667.763
0,-0.0415,-0.1255,-40.9677,-8092.39,672.905
0,-0.0405,-0.1255,-36.2478,-8301.68,679.937
0,-0.0395,-0.1255,-31.3374,-8511.76,688.858
0,-0.0385,-0.1255,-26.2365,-8722.65,699.67
0,-0.0375,-0.1255,-20.945,-8934.34,712.371
0,-0.0365,-0.1255,-15.4629,-9146.83,726.962
0,-0.0355,-0.1255,-9.79032,-9360.12,743.443
0,-0.0345,-0.1255,-3.92716,-9574.21,761.813
0,-0.0335,-0.1255,1.49288,-9793.64,778.071
0,-0.0325,-0.1255,2.83996,-10043,768.552
0,-0.0315,-0.1255,3.97229,-10293.4,757.054
0,-0.0305,-0.1255,4.88968,-10545,743.58
0,-0.0295,-0.1255,2.97443,-10790.7,725.806
0,-0.0285,-0.1255,-9.45851,-11004.5,698.646
0,-0.0275,-0.1255,-21.3761,-11213.3,673.043
0,-0.0265,-0.1255,-32.7786,-11416.9,648.998
0,-0.0255,-0.1255,-43.6657,-11615.5,626.51
0,-0.0245,-0.1255,-54.0375,-11808.9,605.579
0,-0.0235,-0.1255,-63.8941,-11997.2,586.206
0,-0.0225,-0.1255,-73.2353,-12180.4,568.389
0,-0.0215,-0.1255,-82.0613,-12358.5,552.131
0,-0.0205,-0.1255,-90.372,-12531.5,537.429
0,-0.0195,-0.1255,-98.1674,-12699.4,524.285
0,-0.0185,-0.1255,-80.5175,-12842.5,508.885
0,-0.0175,-0.1255,-60.5661,-12981.4,496.896
0,-0.0165,-0.1255,-40.8371,-13118.1,488.804
0,-0.0155,-0.1255,-21.3304,-13252.7,484.611
0,-0.0145,-0.1255,-2.0461,-13385.2,484.314
0,-0.0135,-0.1255,17.0158,-13515.5,487.916
0,-0.0125,-0.1255,35.8554,-13643.6,495.415
0,-0.0115,-0.1255,54.1788,-13770.1,505.258
0,-0.0105,-0.1255,54.5225,-13920.2,422.511
0,-0.0095,-0.1255,55.5069,-14060.9,343.206
0,-0.0085,-0.1255,57.132,-14192.2,267.344
0,-0.0075,-0.1255,48.688,-14290,219.474
0,-0.0065,-0.1255,28.9959,-14355.9,196.744
0,-0.0055,-0.1255,8.83259,-14415.5,172.56
